Time [s], Analyzer Name, Decoded Protocol Result
0.051504800000000,I2C,Setup Write to [0x10] + ACK
0.051829200000000,I2C,0x20 + ACK
0.053774600000000,I2C,0x08 + ACK
0.054100800000000,I2C,0x07 + ACK
0.054436400000000,I2C,0x00 + ACK
0.054764200000000,I2C,0x01 + ACK
0.055095800000000,I2C,0x00 + ACK
0.055427400000000,I2C,0x3E + ACK
0.231491000000000,I2C,Setup Write to [0x10] + ACK
0.231815200000000,I2C,0x20 + ACK
0.233609400000000,I2C,0x08 + ACK
0.233941200000000,I2C,0x07 + ACK
0.234272800000000,I2C,0x00 + ACK
0.234604400000000,I2C,0x00 + ACK
0.234936000000000,I2C,0x02 + ACK
0.235267800000000,I2C,0x3D + ACK
0.271496800000000,I2C,Setup Write to [0x10] + ACK
0.271821200000000,I2C,0x20 + ACK
0.273570400000000,I2C,0x0B + ACK
0.273902200000000,I2C,0x00 + ACK
0.274233800000000,I2C,0x02 + ACK
0.274565600000000,I2C,0x04 + ACK
0.274897200000000,I2C,0x05 + ACK
0.275228800000000,I2C,0x06 + ACK
0.275560400000000,I2C,0x07 + ACK
0.275892000000000,I2C,0x08 + ACK
0.276223800000000,I2C,0x31 + ACK
0.290000000000000,Note,Button Down
0.313455600000000,I2C,Setup Write to [0x40] + ACK
0.313773000000000,I2C,0x08 + ACK
0.314144800000000,I2C,0x06 + ACK
0.314470800000000,I2C,0x00 + ACK
0.314810400000000,I2C,0x20 + ACK
0.315147200000000,I2C,0x6E + ACK
0.361603800000000,I2C,Setup Write to [0x10] + ACK
0.363458200000000,I2C,0x20 + ACK
0.363790000000000,I2C,0x08 + ACK
0.364121600000000,I2C,0x05 + ACK
0.364464400000000,I2C,0x00 + ACK
0.364796200000000,I2C,0x1E + ACK
0.365127800000000,I2C,0x65 + ACK
0.365459600000000,I2C,0x46 + ACK
0.401524800000000,I2C,Setup Write to [0x10] + ACK
0.403413000000000,I2C,0x20 + ACK
0.403744400000000,I2C,0x07 + ACK
0.404076200000000,I2C,0x06 + ACK
0.404407800000000,I2C,0x00 + ACK
0.404762200000000,I2C,0x01 + ACK
0.405093600000000,I2C,0x30 + ACK
1.200000000000000,Note,Button Up
